topic,Title,videoID,publishTIME,duration,viewsCount,likeCount,dislikeCount,commentCount,duration(sec),Age(days),zscore(views),zscore(likes),zscore(dislikes),Age_score,duration_score,score
DS and ML,"Daata {HD &amp; Eng Subs} - Hindi Full Movie - Mithun Chakraborty, Shammi Kapoor, Padmini Kolhapure",gUuosA9eQ7s,2018-03-13 14:30:01,PT2H50M45S,6131913,12306,5951,472,10245,891.0,19.173381302001086,2.297622922626732,25.5078425109555,0.0,0.0,18.92021997353227
DS and ML,What REALLY is Data Science? Told by a Data Scientist,xC-c7E5PK0Y,2018-06-23 01:51:50,PT11M9S,1531665,57745,783,2359,669,789.0,4.600560777047484,11.987405713092137,3.166205684661333,0.0,0.0,16.271345921673486
DS and ML,ПОЛОСАТЫЙ РЕЙС (советский фильм комедия),BVtergBNjAU,2017-01-31 07:35:15,PT1H23M34S,4123514,15825,1674,976,5014,1297.0,12.811107318186236,3.0480431704237296,7.018062962569247,0.0,0.0,15.157344192353042
DS and ML,O que é ciência de dados | Nerdologia Tech,ykSILAQQu6o,2018-07-26 14:55:51,PT9M30S,294270,37687,204,777,570,756.0,0.6806992275234236,7.7100742750949305,0.6631469148423857,0.0,0.0,8.324458811134114
DS and ML,Learn Data Science Tutorial - Full Course for Beginners,ua-CiDNNj30,2019-05-30 12:48:19,PT5H52M9S,914054,23696,343,612,21129,448.0,2.6440718535726804,4.726519376848898,1.2640539424845856,0.0,0.0,7.244185836173119
DS and ML,How To Learn Data Science Smartly?,csG_qfOTvxw,2019-08-22 15:15:04,PT12M13S,685144,25252,310,928,733,364.0,1.91892304716765,5.05833350176283,1.1213925618213294,0.0,0.0,6.865117292748346
DS and ML,AI VS ML VS DL VS Data Science,k2P_pHQDlp0,2019-11-26 14:40:58,PT9M45S,713400,25167,500,860,585,268.0,2.008433355471265,5.040207408820874,1.9427762686703796,0.0,0.0,6.854363137425101
DS and ML,A Day In The Life Of A Data Scientist,Ck0ozfJV9-g,2018-07-26 16:00:04,PT9M,1169536,20109,1473,1451,540,756.0,3.45339633637365,3.9615982546983353,6.149125462165778,0.0,0.0,6.800082044855407
DS and ML,HOW TO BECOME DATA SCIENTIST IN 2020- in Hindi| SALARY OF DATA SCIENTIST| Sangwans Studio|,iLcvvVXBSFo,2019-11-16 10:27:24,PT13M26S,470199,29022,824,2707,806,278.0,1.2380130380255012,5.862279035776663,3.3434516424550758,0.0,0.0,6.765946909556657
