topic,Title,videoID,publishTIME,duration,viewsCount,likeCount,dislikeCount,commentCount,duration(sec),Age(days),zscore(views),zscore(likes),zscore(dislikes),Age_score,duration_score,score
Business Administration,"CAN I FINANCE THIS 32,000,000€ MARBELLA REAL ESTATE PROPERTY? VILLA CULLINAN | VLOG 03 S.5 (Part 2)",8FzU2OMjYN8,2020-07-20 16:00:05,PT16M11S,1550614,31962,803,1769,971,31.0,0.6936484119570987,1.1504068589823284,1.0189444112858717,0.0,0.0,1.74216082981084
Business Administration,"CAN I FINANCE THIS 32,000,000€ MARBELLA REAL ESTATE PROPERTY? VILLA CULLINAN | VLOG 03 S.5 (Part 2)",8FzU2OMjYN8,2020-07-20 16:00:05,PT16M11S,1550614,31962,803,1769,971,31.0,0.6936484119570987,1.1504068589823284,1.0189444112858717,0.0,0.0,1.74216082981084
Business Administration,10 High value transactions tracked by Income Tax | Specified Financial Transactions 285BA,IfUwfCCXZuI,2019-08-17 14:02:18,PT12M48S,1324697,35568,1219,2612,768,369.0,0.5757833533702641,1.2944783347922193,1.6275414098660963,0.0,0.0,1.7075075471758738
Business Administration,FINANCIAL ADVICE FOR 18 YEAR OLDS AND YOUNG ADULTS,m3EhcNA0Abc,2020-07-08 15:23:10,PT13M15S,477356,42591,129,1319,795,43.0,0.13370995204133812,1.575070119210651,0.03290023570156584,0.0,0.0,1.7054900476818327
Business Administration,Why I&#39;m a Financial Minimalist,YUm-7AWwARs,2019-10-14 22:30:01,PT11M56S,663820,40180,654,3080,716,310.0,0.23099165410154393,1.4787427958114143,0.8009613516982433,0.0,0.0,1.629638314743134
Business Administration,Muthoot Finance - GOLD LOAN IS GOOD | Pre &amp; Part Payment Facility,BA_XNfXPMkY,2020-05-11 16:24:12,PT26S,4449248,105,6,2,26,101.0,2.205919140728243,-0.1223843237341714,-0.1470455114747986,0.0,-0.5,1.5982393681415514
Business Administration,Financial Planning for Beginners - 50-30-20 Rule of Money,C49nSjzg1iw,2018-11-01 12:53:51,PT10M29S,1240571,34080,1351,1654,629,658.0,0.531893270203986,1.2350278755561912,1.8206539190309752,0.0,0.0,1.5848557538570798
Business Administration,Muthoot Finance - GOLD LOAN IS GOOD | Free Insurance on Your Gold,oldrHhPzr80,2020-05-11 16:24:20,PT26S,4355882,106,7,0,26,101.0,2.157208379430871,-0.12234437046855577,-0.14558253792051923,0.0,-0.5,1.549422262754367
Business Administration,ALL THINGS MONEY 💸 | Financial Tips I’ve Learned,-9OpuWbTZIo,2019-09-03 17:00:00,PT14M58S,700972,37056,488,2466,898,352.0,0.2503745365611113,1.3539287940282476,0.5581077416878653,0.0,0.0,1.5484925564205723
Business Administration,Muthoot Finance - GOLD LOAN IS GOOD | Digital Transaction,19DRnGdo2Oo,2020-05-11 16:24:24,PT26S,4281296,172,9,5,26,101.0,2.1182954899194235,-0.11970745493792549,-0.14265659081196044,0.0,-0.5,1.5128536940626942
Business Administration,"#1, Introduction of management | Features of management | Class 12 business |",F8lpfpouoek,2016-07-12 12:02:16,PT11M1S,1215631,31135,1104,2329,661,1500.0,0.518881612997332,1.1173655083182186,1.4592994511239668,0.0,0.0,1.4903171762031537
Business Administration,"@Tanmay Bhat On His Comeback, Weight Loss, AIB &amp; Finance | The Ranveer Show 29",2UDczkt_vaI,2020-01-10 15:41:45,PT1H5M27S,778840,35200,757,1600,3927,223.0,0.2909997059022394,1.2797755330456748,0.95164762778902,0.0,0.0,1.475610476169012
Business Administration,"@Tanmay Bhat On His Comeback, Weight Loss, AIB &amp; Finance | The Ranveer Show 29",2UDczkt_vaI,2020-01-10 15:41:45,PT1H5M27S,778840,35200,757,1600,3927,223.0,0.2909997059022394,1.2797755330456748,0.95164762778902,0.0,0.0,1.475610476169012
Business Administration,10 Secrets to Achieve Financial Success,4a51wQAOGR4,2015-09-22 09:18:29,PT1H53M2S,1731344,22400,762,2331,6782,1794.0,0.7879385806402815,0.768373733165862,0.9589624955604169,0.0,0.0,1.4604160642501016
Business Administration,The New Way to Finance Your Car,3nl6hsVhfc0,2020-01-31 19:10:55,PT31S,4142039,24,4,0,31,201.0,2.045642548956031,-0.12562053824903582,-0.14997145858335736,0.0,-0.5,1.4350191565653307
Business Administration,7 BABY STEPS TO FINANCIAL FREEDOM !!! पैसे आते है लेकिन बचते नहीं !! SOLUTION!!,SW9E_3FZGjg,2020-01-05 05:30:01,PT11M53S,788989,34206,819,656,713,228.0,0.2962946260702559,1.240061987023758,1.042351988154342,0.0,0.0,1.4321214142785796
