topic,Title,videoID,publishTIME,duration,viewsCount,likeCount,dislikeCount,commentCount,duration(sec),Age(days),zscore(views),zscore(likes),zscore(dislikes),Age_score,duration_score,score
Android and WebD,Python Tutorial - Python for Beginners [Full Course],_uQrJ0TkZlc,2019-02-18 15:00:08,PT6H14M7S,12434612,389216,3033,30263,22447,549.0,19.215795346848758,23.31270570375533,7.109645209450195,0.0,0.0,41.81753652965907
Android and WebD,How to Make a Website in 10 mins - Simple &amp; Easy,YWA-xbsJrVg,2018-01-03 15:32:33,PT12M22S,9568015,209253,10403,12023,742,960.0,14.745456550081524,12.464090807631257,24.793677668111993,0.0,0.0,24.730179590901578
Android and WebD,"Web Development Tutorial for Beginners (#1) - How to build webpages with HTML, CSS, Javascript",3JluqTojuME,2013-10-21 23:21:08,PT14M8S,4041676,40444,650,2993,848,2494.0,6.1273607257337614,2.2878666282176603,1.3917280657607694,-0.5,0.0,7.776054547375345
Android and WebD,How to Make an Android App for Beginners,EOfCEhWq8sg,2018-04-20 21:12:13,PT19M18S,3303933,47216,1842,1850,1158,852.0,4.976881200727823,2.696099543186583,4.251886368437142,0.0,0.0,7.247792107070692
Android and WebD,ПОЛОСАТЫЙ РЕЙС (советский фильм комедия),BVtergBNjAU,2017-01-31 07:35:15,PT1H23M34S,4123514,15825,1674,976,5014,1297.0,6.254983683006736,0.8037723970274793,3.8487768089995322,0.0,0.0,6.673878399134262
